"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-23";"CT";12,55;12,70;12,45;12,70;12,5858020591170;1,20;21;3011,00000;37895,85;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-20";"CT";12,65;12,65;12,30;12,55;12,4031250000000;-0,79;19;3088,00000;38300,85;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-19";"CT";12,60;12,65;12,50;12,65;12,5867737525630;0,40;19;2926,00000;36828,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-18";"CT";12,65;12,65;12,50;12,60;12,5640000000000;0,00;17;1675,00000;21044,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-17";"CT";12,60;12,60;12,50;12,60;12,5858956276450;1,20;17;4254,00000;53540,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-16";"CT";12,35;12,50;12,15;12,45;12,3926601423490;0,40;21;3372,00000;41788,05;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-13";"CT";12,50;12,50;12,25;12,40;12,3761310003450;-0,80;37;8687,00000;107511,45;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-12";"CT";12,50;12,50;12,45;12,50;12,4942096365170;0,00;9;1183,00000;14780,65;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-11";"CT";12,45;12,50;12,40;12,50;12,4750618301730;0,00;18;4852,00000;60529,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-10";"CT";12,55;12,55;12,50;12,50;12,5149050371590;0,40;6;4844,00000;60622,20;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-09";"CT";12,65;12,65;12,40;12,45;12,4538765649020;-1,97;29;4553,00000;56702,50;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-06";"CT";12,70;12,70;12,60;12,70;12,6641639344260;0,00;9;3050,00000;38625,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-05";"CT";12,50;12,70;12,50;12,70;12,6078866768760;1,60;14;3265,00000;41164,75;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-04";"CT";12,55;12,55;12,40;12,50;12,4780536484110;0,00;22;6263,00000;78150,05;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-03";"CT";12,65;12,65;12,50;12,50;12,5756472491910;-1,19;18;6798,00000;85489,25;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2023-10-02";"CT";12,70;12,70;12,55;12,65;12,5972145328720;0,80;17;2890,00000;36405,95;"EUR";"EUR"
